sim_time,super_dense_time,controller.moveDiscreteCommand,controller.MovementArgs_target_X,controller.MovementArgs_target_Y,controller.MovementArgs_target_Z,dmodel.movediscrete,mapping.q0,mapping.q1,mapping.q2,mapping.q3,mapping.q4,mapping.q5,mapping.robotStopped,mapping.moveCompleted
17.0,1,False,8.0,10.0,0.0,True,-2.3082191375251533,-2.1005698701547466,2.0290679735554367,-2.1402239779170023,-1.0708931018203707,-0.5741782516062646,False,False
17.5,1,False,8.0,10.0,0.0,True,-2.528824843725382,-1.8062349897695693,1.8594357767292315,-2.169584723119125,-0.9045273634793878,-0.8168267702057688,True,False
18.0,1,False,8.0,10.0,0.0,True,-2.8861820707162025,-1.3934030157508621,1.7337187754525951,-2.1695721426790557,-0.7879260832821693,-1.3101044539225573,True,False
18.5,1,False,8.0,10.0,0.0,True,-3.071439257789228,-1.2068836442655195,1.7323827789420454,-2.169911952010956,-0.7874541538310971,-1.4773891399154824,True,True
19.0,1,False,8.0,10.0,0.0,True,-3.0755652054793776,-1.2026034857822738,1.7323827789420454,-2.169533627789648,-0.7873313806779421,-1.4777943590864604,True,True
19.5,1,False,8.0,10.0,0.0,True,-3.075843146251807,-1.2033947902177902,1.7323827789420472,-2.1701739188241573,-0.7871488850966735,-1.477956145888263,True,True
20.0,1,False,8.0,10.0,0.0,True,-3.075599325737021,-1.1994098550737151,1.7323827789420472,-2.169505928666436,-0.7869711027483817,-1.478056888360828,True,True
20.5,1,False,8.0,10.0,0.0,True,-3.075506140320483,-1.19984865356622,1.7323827789420507,-2.1693661958428203,-0.7873278577085281,-1.4778910445313889,True,True
21.0,1,False,8.0,10.0,0.0,True,-3.075582695980528,-1.202550854456228,1.7323827789420543,-2.1701744000910645,-0.7872636420435573,-1.4782061463964684,True,True
21.5,1,False,8.0,10.0,0.0,True,-3.0755440185708514,-1.200021153731373,1.7323827789420543,-2.169262549449132,-0.7875465764902296,-1.4778670120764499,True,True
22.0,1,False,8.0,10.0,0.0,True,-3.075650677689972,-1.2024084709803073,1.732382778942057,-2.170401773960185,-0.7876132267447367,-1.4778095599484438,True,True
22.5,1,False,8.0,10.0,0.0,True,-3.0756583165664217,-1.2007907303702963,1.7323827789420578,-2.169695412194362,-0.7873747565480604,-1.4780838430640415,True,True
23.0,1,False,8.0,10.0,0.0,True,-3.0755295184719893,-1.2023619915485773,1.7323827789420614,-2.170283322131054,-0.7872054488741087,-1.4780834849482147,True,True
23.5,1,True,1.0,13.0,0.0,True,-3.0756180386069536,-1.2004583448036916,1.7323827789420605,-2.169526310727007,-0.787105877030426,-1.477985549782991,True,True
24.0,1,False,1.0,13.0,0.0,True,-3.0756383636049245,-1.2004309337466417,1.732382778942064,-2.1697075397387557,-0.7872805454943919,-1.4779543451729706,True,True
