time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z
5.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658099333392542,-1.739235063592428,1.6485798994647425,-2.2632318935790003,-1.5037115255938929,-0.06730491319765264,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4736487627447628,14.03369593799343,-14.840917699482336,0.04093678138107815,-0.060601199598670885,0.05449550417714573,false,false,false,0,0,0
5.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658456961261194,-1.739227911035055,1.6485641638385218,-2.2632366619505824,-1.5037115255938929,-0.06727677980531865,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3474746662042516,13.959985313647982,-14.840917699482336,0.04093678138107815,-0.060601199598670885,0.05449550417714573,false,false,false,0,0,0
6.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658132711993616,-1.7392860851683558,1.6486290136920374,-2.2631780109801234,-1.503690544758932,-0.06723052660097295,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3079968940405828,13.817972495250212,-14.787413649321296,0.04294306010032465,-0.05624014898072759,0.0509649810705737,false,false,false,0,0,0
6.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658132711993616,-1.7392860851683558,1.6486290136920374,-2.2631780109801234,-1.503690544758932,-0.06723052660097295,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3079968940405828,13.817972495250212,-14.787413649321296,0.04294306010032465,-0.05624014898072759,0.0509649810705737,false,false,true,3,20,2
7.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6658547560321253,-1.739267965356344,1.6485512892352503,-2.2632318935790003,-1.50372821489443,-0.06728870073427373,0.0,0.0,-0.0,4.0552695423912155E-8,-1.401298464324817E-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3517047816442826,13.779005557278344,-14.7961489080935,0.043041520043883195,-0.05451958281682123,0.053529474868994655,false,false,false,0,0,0
7.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,false,true,false,false,false,true,-2.1932385603534144,-2.0661426983275355,1.9808114210711878,-2.1513315639891566,-1.1511295477496546,-0.47940284410585576,-0.528351366519928,-0.3262065351009369,0.3338370621204376,0.11775775998830795,0.3495318591594696,-0.40569883584976196,0.0,0.0,0.0,0.0,0.0,0.0,0.6421229048187297,13.139064764625418,-15.677612586149822,0.04153689909787216,0.15067100930754088,-0.20693629600713137,false,false,false,0,0,0
8.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.293001953755514,-2.127695699731344,2.043617550526754,-2.1303049526610316,-1.0844734350787562,-0.5570514837848108,0.0017859531799331307,0.0019214935600757599,-0.0011441742535680532,2.4003030557651073E-4,-2.3707938723305233E-8,-1.2849211634602398E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.7986569431475387,14.169107867163016,-14.045469756330004,0.08130076771345532,0.1518454914833999,-0.1910585785552693,false,false,false,0,0,0
8.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930215040790003,-2.1277934513487757,2.0435670057879847,-2.130210062066549,-1.0843852202044886,-0.5572088400470179,-1.3858482383824704E-33,0.0,-0.0,0.0,0.0,-1.1677957877221647E-26,0.0,0.0,0.0,0.0,0.0,0.0,0.8767346468125918,13.612095682054939,-14.603632169574858,0.04103218334892207,0.11314713260483045,-0.22298333808870835,false,false,false,0,0,0
9.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930215040790003,-2.1277934513487757,2.0435670057879847,-2.130210062066549,-1.0843852202044886,-0.5572088400470179,-1.3858482383824704E-33,0.0,-0.0,0.0,0.0,-1.1677957877221647E-26,0.0,0.0,0.0,0.0,0.0,0.0,0.8767346468125918,13.612095682054939,-14.603632169574858,0.04103218334892207,0.11314713260483045,-0.22298333808870835,false,false,true,8,10,0
9.5,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-2.293032709752218,-2.1277929745116175,2.04358417192568,-2.1302229366698207,-1.0843475500689905,-0.5571773687945765,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023214581778063,13.553097761384448,-14.932615818416034,0.04110392421094965,0.11208031790861658,-0.21186344376881544,false,false,false,0,0,0
