time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{controller}.controller.closeGripperCommand,{controller}.controller.openGripperCommand,{controller}.controller.moveDiscreteCommand,{controller}.controller.MovementArgs_target_X,{controller}.controller.MovementArgs_target_Y,{controller}.controller.MovementArgs_target_Z
5.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658385435687464,-1.7392016849913539,1.6485393683062952,-2.263264318505758,-1.5036543051349085,-0.06725913683046514,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.769020344494145,13.946183600216616,-14.883263789425001,0.04605645867489034,-0.05454743302464614,0.05860768912949179,false,false,false,0,0,0
5.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658428351031702,-1.739227911035055,1.6485188643084925,-2.2632481060423792,-1.503707234059469,-0.06726390520204717,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7076866130137405,13.842594931209598,-14.683235059001355,0.04487023183477679,-0.050253284365834774,0.05591772557029132,false,false,false,0,0,0
6.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658056418048304,-1.739223142663473,1.648543659840719,-2.2632481060423792,-1.5036738554583948,-0.06725055376161748,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4858133872763362,13.701349384940736,-14.907627321142712,0.05019085490693432,-0.048675562134262655,0.05252882858478542,false,false,true,3,20,2
6.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6658056418048304,-1.739223142663473,1.648543659840719,-2.2632481060423792,-1.5036738554583948,-0.06725055376161748,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4858133872763362,13.701349384940736,-14.907627321142712,0.05019085490693432,-0.048675562134262655,0.05252882858478542,false,false,false,0,0,0
7.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,false,-2.1615479628192347,-2.0462261639037074,1.9607017675982874,-2.1580029926695765,-1.17242938676943,-0.4544947783099573,-0.6076647043228149,-0.37008586525917053,0.38249289989471436,0.009780997410416603,0.03280181065201759,-0.04040679708123207,0.0,0.0,0.0,0.0,0.0,0.0,2.055691589944547,12.745014139549035,-15.37481704771772,0.03027733582838229,0.1120381035311284,-0.2483836697480662,false,false,false,0,0,0
7.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,false,-2.2922683397876185,-2.1272784672179164,2.0431535879718226,-2.1304146252074183,-1.0850127379046839,-0.5564377943622034,-0.047619182616472244,-0.03177172690629959,0.027105793356895447,0.009780997410416603,0.03280181065201759,-0.04040679708123207,0.0,0.0,0.0,0.0,0.0,0.0,2.055691589944547,12.745014139549035,-15.37481704771772,0.03027733582838229,0.1120381035311284,-0.2483836697480662,false,false,false,0,0,0
8.0,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.2930007616626185,-2.1278258762755335,2.0436137358294886,-2.1302343807616175,-1.0843794981585901,-0.5571311155902308,-9.797329403227195E-5,-2.0596265676431358E-4,-0.0,0.0,6.279153603827581E-5,-6.54116811347194E-5,0.0,0.0,0.0,0.0,0.0,0.0,1.3376498028293482,13.366114249067115,-14.943256349482942,0.04715532508931121,0.11672100176320796,-0.22057487237745455,false,false,false,0,0,0
8.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-2.293041531239645,-2.127800603906149,2.0435684362994593,-2.130218645135397,-1.0843594709979456,-0.5571897665606897,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3402876099364114,13.40764809085215,-14.757474659363663,0.04452944699099791,0.1134916757700608,-0.20841527991166475,false,false,true,8,10,0
9.0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-2.293041531239645,-2.127800603906149,2.0435684362994593,-2.130218645135397,-1.0843594709979456,-0.5571897665606897,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3402876099364114,13.40764809085215,-14.757474659363663,0.04452944699099791,0.1134916757700608,-0.20841527991166475,false,false,false,0,0,0
9.5,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-3.0731659571277063,-1.202512041931488,1.7334068457232874,-2.1691090069212855,-0.7885072867022913,-1.4747632185565394,-0.07622658461332321,0.09103263169527054,-0.03149536997079849,-0.00437328964471817,0.02821352891623974,-0.09040471911430359,0.0,0.0,0.0,0.0,0.0,0.0,1.9977184600774864,12.076331628384722,-15.457906802792667,-0.070810558923711,0.13986419698643465,-0.3624296566631264,false,false,false,0,0,0
