time,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{rmqfmu}.rmqfmu.closeGripperCommand,{rmqfmu}.rmqfmu.openGripperCommand,{rmqfmu}.rmqfmu.moveDiscreteCommand,{rmqfmu}.rmqfmu.MovementArgs_target_X,{rmqfmu}.rmqfmu.MovementArgs_target_Y,{rmqfmu}.rmqfmu.MovementArgs_target_Z,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state
10.0,true,false,true,false,false,false,false,-2.392236265843686,-2.066076601391397,1.9427166086673786,-2.1713345061596607,-0.9694728580308434,-0.6977459983167549,-0.5610982662532582,0.5283274641070319,-0.41210288436410947,0.011825586686240824,0.40246597741185147,-0.6056725596862597,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
10.5,true,false,true,false,false,false,false,-2.8638179082166877,-1.5048490668646268,1.7337187822968643,-2.1696788509842255,-0.7881165845665228,-1.261103404060842,-0.6479493307241722,0.8098700961675376,-0.021896306731147192,-0.02114934975167795,9.855191660078214E-4,-0.7040837246732999,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
11.0,true,false,true,false,false,false,false,-3.034427758634509,-1.2794633588434188,1.73238292538836,-2.1698133808009663,-0.7874401831216264,-1.4443648324960234,-0.2221138872224068,0.43264193940377627,-7.253366156588757E-5,-5.812397056103237E-4,0.016294082172227616,-0.21706860106181994,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
11.5,true,true,true,false,false,false,false,-3.0754535484198877,-1.2065558250744672,1.7323827770102218,-2.169520040527426,-0.7873762787044827,-1.478161157288378,-0.005164583163442733,0.04282265819509376,0.0,0.013821534339267224,-0.0025815580690041334,-0.005680032863432125,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
12.0,true,true,true,false,false,false,true,-3.0755644954300463,-1.204007702419445,1.7323827770102227,-2.169815545268789,-0.7872257442923805,-1.478067887285703,0.006428489600197765,0.11396941316788081,0.0,0.020739672994456133,-0.003864043349644733,-0.010979088564513314,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
12.5,true,true,true,false,false,false,true,-3.0756007333840296,-1.2036357286776287,1.7323827770102271,-2.170060938406615,-0.7866148485544464,-1.4779500575088163,0.0017628856113564193,-0.03557144187809766,0.0,-0.015216591869385539,7.632140242465466E-4,0.009818126758178457,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
13.0,true,true,true,false,false,false,true,-3.075516741871385,-1.2024785017317479,1.732382777010229,-2.170064731732454,-0.7873345412504271,-1.4779705889875325,-2.0571219625513322E-4,-0.01134355208325614,1.776356839400604E-13,-0.004947728770688816,-0.005280435372602084,-0.00706091072615463,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
13.5,true,true,true,false,false,false,true,-3.0754506959409253,-1.202367865857921,1.7323827770102298,-2.1695356479457786,-0.7875167117561563,-1.4778712198388426,0.0026399419729377905,0.009365174309296707,0.0,0.0025114198148661893,-0.005362096737205847,-0.006010441007832187,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
14.0,true,true,true,false,false,false,true,-3.075574980909833,-1.2008206370255783,1.7323827770102316,-2.1694313332907287,-0.7876786657249308,-1.477989402769392,0.0012249443932079935,0.02504852079301899,0.0,0.0036909495342748026,-0.0160058100338066,-0.0018726494223745677,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
14.5,true,true,true,false,false,false,true,-3.0756651270319066,-1.2032234913082727,1.7323827770102342,-2.170088757379209,-0.7867405015235507,-1.477852700274501,-0.004361741489412353,-0.037783346736482724,0.0,-0.015045409595163203,-0.0021238444671394024,0.009960733307680974,false,false,false,0,0,0,true,false,false,8,10,0,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop
